issue_type,lat,lon
Rats,42.380264,-71.097977
Rats,42.37591523,-71.09844625
Rats,42.38809871,-71.0990207
Rats,42.3880358,-71.0981062
Rats,42.3759393,-71.0966903
Rats,42.39515254,-71.12043804
Rats,42.3880358,-71.0981062
Rats,42.3821907,-71.0872198
Rats,42.38424,-71.0900981
Rats,42.38424,-71.0900981
Rats,42.38424,-71.0900981
Rats,42.4017279,-71.1152128
Rats,42.3844846,-71.0804418
Rats,42.386017,-71.08654
Rats,42.3933183,-71.1113598
Rats,42.38343,-71.112671
Rats,42.4088896,-71.1246057
Rats,42.3833477,-71.0879834
Rats,42.4016556,-71.1296031
Rats,42.39047069,-71.11362496
Rats,42.3822104,-71.0992621
Rats,0,0
Rats,42.38302031,-71.09788869
Rats,0,0
Rats,42.3776123,-71.102586
Rats,42.3885031,-71.0874189
Rats,42.3875838,-71.1156232
Rats,42.3844846,-71.0804418
Rats,42.3808342,-71.0950926
Rats,42.3862814,-71.0826005
Rats,42.380222,-71.100365
Rats,42.3785842,-71.1004505
Rats,42.4059017,-71.1227731
Rats,42.3835151,-71.0882411
Rats,42.3917189,-71.1187295
Rats,42.384247,-71.082634
Rats,42.391872,-71.099869
Rats,42.3760681,-71.0987517
Rats,42.3771569,-71.0988257
Rats,42.3909623,-71.0928879
Rats,42.3996182,-71.1128453
